date,sum,mean,min,max,count
2020-12-08,6,1.0,1,1,6
2020-12-09,32,1.0,1,1,32
2020-12-10,7,1.0,1,1,7
2020-12-11,8,1.0,1,1,8
2020-12-12,3,1.0,1,1,3
2020-12-13,33,1.0,1,1,33
2020-12-14,9,1.0,1,1,9
2020-12-15,12,1.0,1,1,12
2020-12-16,26,1.0,1,1,26
2020-12-17,18,1.0,1,1,18
2020-12-18,33,1.0,1,1,33
2020-12-19,9,1.0,1,1,9
2020-12-20,18,1.0,1,1,18
2020-12-21,13,1.0,1,1,13
2020-12-22,6,1.0,1,1,6
2020-12-23,11,1.0,1,1,11
2020-12-24,34,1.0,1,1,34
2020-12-25,19,1.0,1,1,19
2020-12-26,7,1.0,1,1,7
2020-12-27,10,1.0,1,1,10
2020-12-28,21,1.0,1,1,21
2020-12-29,13,1.0,1,1,13
2020-12-30,15,1.0,1,1,15
2020-12-31,11,1.0,1,1,11
2021-01-01,8,1.0,1,1,8
2021-01-02,13,1.0,1,1,13
2021-01-03,12,1.0,1,1,12
2021-01-04,10,1.0,1,1,10
2021-01-05,18,1.0,1,1,18
2021-01-06,14,1.0,1,1,14
2021-01-07,12,1.0,1,1,12
2021-01-08,13,1.0,1,1,13
2021-01-09,17,1.0,1,1,17
2021-01-10,9,1.0,1,1,9
2021-01-11,15,1.0,1,1,15
2021-01-12,21,1.0,1,1,21
2021-01-13,16,1.0,1,1,16
2021-01-14,7,1.0,1,1,7
2021-01-15,19,1.0,1,1,19
2021-01-16,10,1.0,1,1,10
2021-01-17,11,1.0,1,1,11
2021-01-18,22,1.0,1,1,22
2021-01-19,7,1.0,1,1,7
2021-01-20,16,1.0,1,1,16
2021-01-21,19,1.0,1,1,19
2021-01-22,16,1.0,1,1,16
2021-01-23,17,1.0,1,1,17
2021-01-24,10,1.0,1,1,10
2021-01-25,6,1.0,1,1,6
2021-01-26,4,1.0,1,1,4
2021-01-27,15,1.0,1,1,15
2021-01-28,15,1.0,1,1,15
2021-01-29,16,1.0,1,1,16
2021-01-30,12,1.0,1,1,12
2021-01-31,14,1.0,1,1,14
2021-02-01,12,1.0,1,1,12
2021-02-02,17,1.0,1,1,17
2021-02-03,4,1.0,1,1,4
2021-02-04,19,1.0,1,1,19
2021-02-05,24,1.0,1,1,24
2021-02-06,24,1.0,1,1,24
2021-02-07,26,1.0,1,1,26
2021-02-08,13,1.0,1,1,13
2021-02-09,25,1.0,1,1,25
2021-02-10,27,1.0,1,1,27
2021-02-11,3,1.0,1,1,3
2021-02-12,8,1.0,1,1,8
2021-02-13,12,1.0,1,1,12
2021-02-14,5,1.0,1,1,5
2021-02-15,18,1.0,1,1,18
2021-02-16,10,1.0,1,1,10
2021-02-17,14,1.0,1,1,14
2021-02-18,32,1.0,1,1,32
2021-02-19,20,1.0,1,1,20
2021-02-20,11,1.0,1,1,11
2021-02-21,30,1.0,1,1,30
2021-02-22,21,1.0,1,1,21
2021-02-23,9,1.0,1,1,9
2021-02-24,37,1.0,1,1,37
2021-02-25,17,1.0,1,1,17
2021-02-26,10,1.0,1,1,10
2021-02-27,20,1.0,1,1,20
2021-02-28,15,1.0,1,1,15
2021-03-01,20,1.0,1,1,20
2021-03-02,13,1.0,1,1,13
