date,sum,mean,min,max,count
2021-08-16,0.912146,0.912146,0.912146,0.912146,1
2021-08-23,0.983957,0.983957,0.983957,0.983957,1
2021-08-30,0.966647,0.966647,0.966647,0.966647,1
2021-09-06,0.948608,0.948608,0.948608,0.948608,1
2021-09-13,0.960125,0.960125,0.960125,0.960125,1
2021-09-20,0.989892,0.989892,0.989892,0.989892,1
2021-09-27,0.970963,0.970963,0.970963,0.970963,1
2021-10-04,1.0,1.0,1.0,1.0,1
2021-10-11,0.984309,0.984309,0.984309,0.984309,1
2021-10-18,0.981038,0.981038,0.981038,0.981038,1
2021-10-25,0.990958,0.990958,0.990958,0.990958,1
2021-11-01,0.944229,0.944229,0.944229,0.944229,1
2021-11-08,0.973382,0.973382,0.973382,0.973382,1
2021-11-15,0.962146,0.962146,0.962146,0.962146,1
2021-11-22,0.955888,0.955888,0.955888,0.955888,1
2021-11-29,0.969418,0.969418,0.969418,0.969418,1
2021-12-06,0.97325,0.97325,0.97325,0.97325,1
2021-12-13,0.977109,0.977109,0.977109,0.977109,1
2021-12-19,1.0,1.0,1.0,1.0,1
2021-12-26,0.987075,0.987075,0.987075,0.987075,1
2022-01-02,0.993618,0.993618,0.993618,0.993618,1
2022-01-09,1.0,1.0,1.0,1.0,1
2022-01-16,1.0,1.0,1.0,1.0,1
2022-01-23,0.986142,0.986142,0.986142,0.986142,1
2022-01-30,1.0,1.0,1.0,1.0,1
2022-02-06,1.0,1.0,1.0,1.0,1
2022-02-13,0.991001,0.991001,0.991001,0.991001,1
2022-02-20,0.984066,0.984066,0.984066,0.984066,1
2022-02-27,1.0,1.0,1.0,1.0,1
2022-03-06,0.969298,0.969298,0.969298,0.969298,1
2022-03-13,1.0,1.0,1.0,1.0,1
2022-04-01,1.0,1.0,1.0,1.0,1
2022-04-08,1.0,1.0,1.0,1.0,1
2022-04-15,1.0,1.0,1.0,1.0,1
2022-04-22,1.0,1.0,1.0,1.0,1
2022-04-29,1.0,1.0,1.0,1.0,1
2022-05-06,1.0,1.0,1.0,1.0,1
2022-05-13,1.0,1.0,1.0,1.0,1
2022-05-20,0.979921,0.979921,0.979921,0.979921,1
2022-05-27,0.999788,0.999788,0.999788,0.999788,1
2022-06-03,1.0,1.0,1.0,1.0,1
2022-06-10,0.980253,0.980253,0.980253,0.980253,1
2022-06-17,1.0,1.0,1.0,1.0,1
2022-06-24,1.0,1.0,1.0,1.0,1
2022-07-01,1.0,1.0,1.0,1.0,1
2022-07-08,1.0,1.0,1.0,1.0,1
2022-07-15,0.972894,0.972894,0.972894,0.972894,1
2022-07-22,1.0,1.0,1.0,1.0,1
2022-07-29,1.0,1.0,1.0,1.0,1
2022-08-05,1.0,1.0,1.0,1.0,1
2022-08-12,1.0,1.0,1.0,1.0,1
2022-08-19,0.976498,0.976498,0.976498,0.976498,1
2022-08-26,1.0,1.0,1.0,1.0,1
2022-09-02,0.980455,0.980455,0.980455,0.980455,1
2022-09-09,1.0,1.0,1.0,1.0,1
2022-09-16,1.0,1.0,1.0,1.0,1
2022-09-23,1.0,1.0,1.0,1.0,1
2022-09-30,1.0,1.0,1.0,1.0,1
2022-10-07,1.0,1.0,1.0,1.0,1
2022-10-14,1.0,1.0,1.0,1.0,1
2022-10-21,1.0,1.0,1.0,1.0,1
2022-10-28,1.0,1.0,1.0,1.0,1
2022-11-04,1.0,1.0,1.0,1.0,1
2022-11-11,1.0,1.0,1.0,1.0,1
2022-11-18,1.0,1.0,1.0,1.0,1
2022-11-25,1.0,1.0,1.0,1.0,1
2022-12-02,1.0,1.0,1.0,1.0,1
2022-12-09,1.0,1.0,1.0,1.0,1
2022-12-16,1.0,1.0,1.0,1.0,1
2022-12-23,1.0,1.0,1.0,1.0,1
2022-12-30,1.0,1.0,1.0,1.0,1
2023-01-06,1.0,1.0,1.0,1.0,1
2023-01-13,1.0,1.0,1.0,1.0,1
2023-01-20,1.0,1.0,1.0,1.0,1
2023-01-27,1.0,1.0,1.0,1.0,1
2023-02-03,1.0,1.0,1.0,1.0,1
2023-02-10,1.0,1.0,1.0,1.0,1
2023-02-17,1.0,1.0,1.0,1.0,1
2023-02-24,1.0,1.0,1.0,1.0,1
2023-03-03,1.0,1.0,1.0,1.0,1
2023-03-10,1.0,1.0,1.0,1.0,1
2023-03-17,1.0,1.0,1.0,1.0,1
2023-03-24,1.0,1.0,1.0,1.0,1
2023-03-31,1.0,1.0,1.0,1.0,1
2023-04-07,1.0,1.0,1.0,1.0,1
2023-04-14,1.0,1.0,1.0,1.0,1
2023-04-21,1.0,1.0,1.0,1.0,1
2023-04-28,1.0,1.0,1.0,1.0,1
2023-05-05,1.0,1.0,1.0,1.0,1
2023-05-12,1.0,1.0,1.0,1.0,1
2023-05-19,1.0,1.0,1.0,1.0,1
2023-05-26,0.990854,0.990854,0.990854,0.990854,1
2023-06-02,1.0,1.0,1.0,1.0,1
2023-06-09,1.0,1.0,1.0,1.0,1
2023-06-16,1.0,1.0,1.0,1.0,1
2023-06-23,1.0,1.0,1.0,1.0,1
2023-06-30,1.0,1.0,1.0,1.0,1
2023-07-07,1.0,1.0,1.0,1.0,1
2023-07-14,1.0,1.0,1.0,1.0,1
2023-07-21,1.0,1.0,1.0,1.0,1
2023-07-28,1.0,1.0,1.0,1.0,1
2023-08-04,1.0,1.0,1.0,1.0,1
2023-08-11,0.994078,0.994078,0.994078,0.994078,1
2023-08-18,1.0,1.0,1.0,1.0,1
2023-08-25,0.976149,0.976149,0.976149,0.976149,1
2023-09-01,0.993026,0.993026,0.993026,0.993026,1
2023-09-08,1.0,1.0,1.0,1.0,1
2023-09-15,1.0,1.0,1.0,1.0,1
2023-09-22,1.0,1.0,1.0,1.0,1
2023-09-29,1.0,1.0,1.0,1.0,1
2023-10-06,1.0,1.0,1.0,1.0,1
2023-10-13,1.0,1.0,1.0,1.0,1
2023-10-20,1.0,1.0,1.0,1.0,1
2023-10-27,1.0,1.0,1.0,1.0,1
2023-11-03,0.9983,0.9983,0.9983,0.9983,1
2023-11-10,1.0,1.0,1.0,1.0,1
2023-11-17,0.96563,0.96563,0.96563,0.96563,1
2023-11-24,1.0,1.0,1.0,1.0,1
2023-12-01,0.971705,0.971705,0.971705,0.971705,1
2023-12-08,1.0,1.0,1.0,1.0,1
2023-12-15,1.0,1.0,1.0,1.0,1
2023-12-22,1.0,1.0,1.0,1.0,1
2023-12-29,0.992923,0.992923,0.992923,0.992923,1
2024-01-05,0.982508,0.982508,0.982508,0.982508,1
2024-01-12,0.991508,0.991508,0.991508,0.991508,1
2024-01-19,1.0,1.0,1.0,1.0,1
2024-01-26,1.0,1.0,1.0,1.0,1
2024-02-02,1.0,1.0,1.0,1.0,1
2024-02-09,0.997168,0.997168,0.997168,0.997168,1
2024-02-16,1.0,1.0,1.0,1.0,1
2024-02-23,1.0,1.0,1.0,1.0,1
2024-03-01,1.0,1.0,1.0,1.0,1
2024-03-08,1.0,1.0,1.0,1.0,1
2024-03-15,1.0,1.0,1.0,1.0,1
2024-03-22,1.0,1.0,1.0,1.0,1
2024-03-29,1.0,1.0,1.0,1.0,1
2024-04-05,1.0,1.0,1.0,1.0,1
2024-04-12,0.983906,0.983906,0.983906,0.983906,1
2024-04-19,1.0,1.0,1.0,1.0,1
2024-04-26,1.0,1.0,1.0,1.0,1
2024-05-03,1.0,1.0,1.0,1.0,1
2024-05-10,1.0,1.0,1.0,1.0,1
2024-05-17,1.0,1.0,1.0,1.0,1
2024-05-24,1.0,1.0,1.0,1.0,1
2024-05-31,0.974993,0.974993,0.974993,0.974993,1
2024-06-07,1.0,1.0,1.0,1.0,1
2024-06-14,0.983426,0.983426,0.983426,0.983426,1
2024-06-21,0.98273,0.98273,0.98273,0.98273,1
2024-06-28,1.0,1.0,1.0,1.0,1
2024-07-05,1.0,1.0,1.0,1.0,1
2024-07-12,1.0,1.0,1.0,1.0,1
2024-07-26,1.0,1.0,1.0,1.0,1
2024-08-02,0.928478,0.928478,0.928478,0.928478,1
2024-08-09,0.82024,0.82024,0.82024,0.82024,1
2024-08-16,0.858742,0.858742,0.858742,0.858742,1
2024-08-23,0.862857,0.862857,0.862857,0.862857,1
2024-08-30,0.892781,0.892781,0.892781,0.892781,1
2024-09-06,0.901832,0.901832,0.901832,0.901832,1
2024-09-13,0.97224,0.97224,0.97224,0.97224,1
2024-09-20,0.937118,0.937118,0.937118,0.937118,1
2024-09-27,0.971719,0.971719,0.971719,0.971719,1
2024-10-04,0.975778,0.975778,0.975778,0.975778,1
2024-10-11,0.994472,0.994472,0.994472,0.994472,1
2024-10-18,1.0,1.0,1.0,1.0,1
2024-10-25,1.0,1.0,1.0,1.0,1
2024-11-01,1.0,1.0,1.0,1.0,1
2024-11-08,1.0,1.0,1.0,1.0,1
2024-11-15,1.0,1.0,1.0,1.0,1
2024-11-22,1.0,1.0,1.0,1.0,1
2024-11-29,0.98791,0.98791,0.98791,0.98791,1
2024-12-06,0.995974,0.995974,0.995974,0.995974,1
2024-12-13,0.964015,0.964015,0.964015,0.964015,1
2024-12-20,1.0,1.0,1.0,1.0,1
2024-12-27,0.977073,0.977073,0.977073,0.977073,1
2025-01-03,1.0,1.0,1.0,1.0,1
2025-01-10,0.992995,0.992995,0.992995,0.992995,1
2025-01-17,0.977491,0.977491,0.977491,0.977491,1
2025-01-24,1.0,1.0,1.0,1.0,1
2025-01-31,1.0,1.0,1.0,1.0,1
2025-02-07,1.0,1.0,1.0,1.0,1
2025-02-14,0.994481,0.994481,0.994481,0.994481,1
2025-02-21,0.973895,0.973895,0.973895,0.973895,1
2025-02-28,1.0,1.0,1.0,1.0,1
2025-03-07,0.989463,0.989463,0.989463,0.989463,1
2025-03-14,0.978687,0.978687,0.978687,0.978687,1
