date,sum,mean,min,max,count
2020-12-09,51,51.0,51,51,1
2020-12-10,54,54.0,54,54,1
2020-12-11,47,47.0,47,47,1
2020-12-12,53,53.0,53,53,1
2020-12-13,54,54.0,54,54,1
2020-12-14,50,50.0,50,50,1
2020-12-15,50,50.0,50,50,1
2020-12-16,50,50.0,50,50,1
2020-12-17,50,50.0,50,50,1
2020-12-18,50,50.0,50,50,1
2020-12-19,53,53.0,53,53,1
2020-12-20,57,57.0,57,57,1
2020-12-21,48,48.0,48,48,1
2020-12-22,52,52.0,52,52,1
2020-12-23,54,54.0,54,54,1
2020-12-24,52,52.0,52,52,1
2020-12-25,52,52.0,52,52,1
2020-12-26,52,52.0,52,52,1
2020-12-27,48,48.0,48,48,1
2020-12-28,54,54.0,54,54,1
2020-12-29,56,56.0,56,56,1
2020-12-30,51,51.0,51,51,1
2020-12-31,55,55.0,55,55,1
2021-01-01,48,48.0,48,48,1
2021-01-02,54,54.0,54,54,1
2021-01-03,57,57.0,57,57,1
2021-01-04,56,56.0,56,56,1
2021-01-05,52,52.0,52,52,1
2021-01-06,52,52.0,52,52,1
2021-01-07,48,48.0,48,48,1
2021-01-08,52,52.0,52,52,1
2021-01-09,54,54.0,54,54,1
2021-01-10,53,53.0,53,53,1
2021-01-11,49,49.0,49,49,1
2021-01-12,51,51.0,51,51,1
2021-01-13,48,48.0,48,48,1
2021-01-14,51,51.0,51,51,1
2021-01-15,48,48.0,48,48,1
2021-01-16,51,51.0,51,51,1
2021-01-17,55,55.0,55,55,1
2021-01-18,56,56.0,56,56,1
2021-01-19,56,56.0,56,56,1
2021-01-20,52,52.0,52,52,1
2021-01-21,50,50.0,50,50,1
2021-01-22,48,48.0,48,48,1
2021-01-23,56,56.0,56,56,1
2021-01-24,52,52.0,52,52,1
2021-01-25,55,55.0,55,55,1
2021-01-26,50,50.0,50,50,1
2021-01-27,56,56.0,56,56,1
2021-01-28,52,52.0,52,52,1
2021-01-29,55,55.0,55,55,1
2021-01-30,53,53.0,53,53,1
2021-01-31,48,48.0,48,48,1
2021-02-01,47,47.0,47,47,1
2021-02-02,55,55.0,55,55,1
2021-02-03,50,50.0,50,50,1
2021-02-04,55,55.0,55,55,1
2021-02-05,49,49.0,49,49,1
2021-02-06,57,57.0,57,57,1
2021-02-07,52,52.0,52,52,1
2021-02-08,50,50.0,50,50,1
2021-02-09,47,47.0,47,47,1
2021-02-10,53,53.0,53,53,1
2021-02-11,55,55.0,55,55,1
2021-02-12,52,52.0,52,52,1
2021-02-13,53,53.0,53,53,1
2021-02-14,50,50.0,50,50,1
2021-02-15,52,52.0,52,52,1
2021-02-16,53,53.0,53,53,1
2021-02-17,49,49.0,49,49,1
2021-02-18,52,52.0,52,52,1
2021-02-19,55,55.0,55,55,1
2021-02-20,55,55.0,55,55,1
2021-02-21,53,53.0,53,53,1
2021-02-22,54,54.0,54,54,1
2021-02-23,52,52.0,52,52,1
2021-02-24,52,52.0,52,52,1
2021-02-25,53,53.0,53,53,1
2021-02-26,51,51.0,51,51,1
