date,sum,mean,min,max,count
2020-12-08,63,2.625,1,5,24
2020-12-09,95,2.021276595744681,1,5,47
2020-12-10,81,2.025,1,5,40
2020-12-11,103,2.239130434782609,1,5,46
2020-12-12,21,1.5,1,4,14
2020-12-13,119,2.1636363636363636,1,5,55
2020-12-14,133,2.375,1,5,56
2020-12-15,183,2.472972972972973,1,5,74
2020-12-16,105,2.142857142857143,1,5,49
2020-12-17,206,3.2698412698412698,1,5,63
2020-12-18,155,2.6271186440677967,1,5,59
2020-12-19,108,1.6875,1,5,64
2020-12-20,212,2.4367816091954024,1,5,87
2020-12-21,111,1.88135593220339,1,5,59
2020-12-22,75,1.9230769230769231,1,5,39
2020-12-23,83,2.024390243902439,1,5,41
2020-12-24,214,2.3010752688172045,1,5,93
2020-12-25,176,2.1463414634146343,1,5,82
2020-12-26,95,2.2093023255813953,1,5,43
2020-12-27,100,1.8867924528301887,1,5,53
2020-12-28,170,2.2666666666666666,1,5,75
2020-12-29,70,1.7073170731707317,1,5,41
2020-12-30,137,2.2459016393442623,1,5,61
2020-12-31,92,2.3,1,5,40
2021-01-01,61,1.605263157894737,1,4,38
2021-01-02,231,3.08,1,5,75
2021-01-03,94,2.186046511627907,1,5,43
2021-01-04,80,1.6666666666666667,1,4,48
2021-01-05,85,2.073170731707317,1,5,41
2021-01-06,126,2.5714285714285716,1,5,49
2021-01-07,72,1.7142857142857142,1,5,42
2021-01-08,62,1.631578947368421,1,4,38
2021-01-09,89,1.934782608695652,1,5,46
2021-01-10,161,2.4029850746268657,1,5,67
2021-01-11,77,1.925,1,5,40
2021-01-12,117,2.1272727272727274,1,5,55
2021-01-13,169,2.380281690140845,1,5,71
2021-01-14,68,1.5454545454545454,1,4,44
2021-01-15,144,2.1492537313432836,1,5,67
2021-01-16,183,2.3164556962025316,1,5,79
2021-01-17,151,2.559322033898305,1,5,59
2021-01-18,147,2.3333333333333335,1,5,63
2021-01-19,100,2.2222222222222223,1,5,45
2021-01-20,138,2.262295081967213,1,5,61
2021-01-21,80,2.051282051282051,1,5,39
2021-01-22,107,2.018867924528302,1,5,53
2021-01-23,132,2.2758620689655173,1,5,58
2021-01-24,83,1.8863636363636365,1,5,44
2021-01-25,91,2.116279069767442,1,5,43
2021-01-26,55,1.4102564102564104,1,4,39
2021-01-27,89,1.9777777777777779,1,5,45
2021-01-28,89,1.78,1,4,50
2021-01-29,95,1.7592592592592593,1,5,54
2021-01-30,108,1.894736842105263,1,5,57
2021-01-31,78,2.2285714285714286,1,5,35
2021-02-01,78,1.6595744680851063,1,4,47
2021-02-02,143,2.86,1,5,50
2021-02-03,54,1.588235294117647,1,5,34
2021-02-04,86,1.6862745098039216,1,5,51
2021-02-05,111,1.9821428571428572,1,5,56
2021-02-06,171,2.5522388059701493,1,5,67
2021-02-07,129,2.2241379310344827,1,5,58
2021-02-08,84,1.9534883720930232,1,5,43
2021-02-09,113,2.26,1,5,50
2021-02-10,93,2.1627906976744184,1,5,43
2021-02-11,50,2.0,1,5,25
2021-02-12,48,1.4545454545454546,1,4,33
2021-02-13,90,2.0930232558139537,1,5,43
2021-02-14,77,1.8780487804878048,1,5,41
2021-02-15,95,2.2093023255813953,1,5,43
2021-02-16,136,2.0606060606060606,1,5,66
2021-02-17,108,2.297872340425532,1,5,47
2021-02-18,103,2.395348837209302,1,5,43
2021-02-19,197,3.078125,1,5,64
2021-02-20,78,2.7857142857142856,1,5,28
2021-02-21,115,2.1296296296296298,1,5,54
2021-02-22,74,2.242424242424242,1,5,33
2021-02-23,85,2.125,1,5,40
2021-02-24,139,2.8958333333333335,1,5,48
2021-02-25,125,2.272727272727273,1,5,55
2021-02-26,99,2.25,1,4,44
2021-02-27,106,1.9272727272727272,1,5,55
2021-02-28,86,2.263157894736842,1,5,38
2021-03-01,108,2.076923076923077,1,5,52
2021-03-02,48,2.2857142857142856,1,5,21
2021-03-03,158,3.0980392156862746,1,5,51
2021-03-04,68,2.125,1,5,32
2021-03-05,82,1.9523809523809523,1,5,42
2021-03-06,103,2.575,1,5,40
2021-03-07,196,2.6133333333333333,1,5,75
2021-03-08,80,2.5,1,5,32
2021-03-09,103,2.4523809523809526,1,5,42
2021-03-10,75,2.5,1,5,30
2021-03-11,20,1.5384615384615385,1,3,13
2021-03-12,60,1.875,1,5,32
2021-03-13,62,2.2962962962962963,1,5,27
2021-03-14,131,2.673469387755102,1,5,49
2021-03-15,80,2.051282051282051,1,5,39
2021-03-16,99,2.6052631578947367,1,5,38
2021-03-17,47,1.5161290322580645,1,5,31
2021-03-18,87,2.4857142857142858,1,5,35
2021-03-19,85,2.4285714285714284,1,5,35
2021-03-20,167,2.4925373134328357,1,5,67
2021-03-21,177,2.5285714285714285,1,5,70
2021-03-22,120,2.3529411764705883,1,5,51
2021-03-23,127,2.309090909090909,1,5,55
2021-03-24,55,1.896551724137931,1,5,29
2021-03-25,115,1.9491525423728813,1,5,59
2021-03-26,119,2.5869565217391304,1,5,46
2021-03-27,93,2.1136363636363638,1,5,44
2021-03-28,132,2.588235294117647,1,5,51
2021-03-29,143,2.1029411764705883,1,5,68
2021-03-30,69,1.9714285714285715,1,5,35
2021-03-31,50,1.5151515151515151,1,4,33
2021-04-01,81,2.076923076923077,1,5,39
2021-04-02,71,2.4482758620689653,1,5,29
2021-04-03,204,2.55,1,5,80
2021-04-04,151,2.849056603773585,1,5,53
2021-04-05,104,2.311111111111111,1,5,45
2021-04-06,149,2.759259259259259,1,5,54
2021-04-07,90,2.3076923076923075,1,5,39
2021-04-08,110,2.2,1,5,50
2021-04-09,321,3.0,1,5,107
2021-04-10,54,3.375,1,5,16
2021-04-11,70,2.121212121212121,1,5,33
2021-04-12,23,2.090909090909091,1,4,11
2021-04-13,103,2.5121951219512195,1,5,41
2021-04-14,168,2.7096774193548385,1,5,62
2021-04-15,182,3.1379310344827585,1,5,58
2021-04-16,107,2.3260869565217392,1,5,46
2021-04-17,155,2.5,1,5,62
2021-04-18,123,2.1206896551724137,1,5,58
2021-04-19,94,2.764705882352941,1,5,34
2021-04-20,100,2.0408163265306123,1,5,49
2021-04-21,122,2.1403508771929824,1,5,57
2021-04-22,140,2.857142857142857,1,5,49
2021-04-23,14,1.2727272727272727,1,3,11
2021-04-24,35,3.1818181818181817,1,5,11
2021-04-25,78,2.4375,1,5,32
2021-04-26,41,1.5185185185185186,1,4,27
2021-04-27,92,2.4864864864864864,1,5,37
2021-04-28,83,1.9761904761904763,1,5,42
2021-04-29,102,1.8545454545454545,1,5,55
2021-04-30,56,1.6470588235294117,1,5,34
2021-05-01,257,2.9204545454545454,1,5,88
2021-05-02,105,2.142857142857143,1,5,49
2021-05-03,115,2.6136363636363638,1,5,44
2021-05-04,111,2.642857142857143,1,5,42
2021-05-05,155,2.8181818181818183,1,5,55
2021-05-06,160,2.4242424242424243,1,5,66
2021-05-07,138,2.5555555555555554,1,5,54
2021-05-08,136,2.3448275862068964,1,5,58
2021-05-09,161,2.515625,1,5,64
2021-05-10,147,2.0136986301369864,1,5,73
2021-05-11,102,2.04,1,5,50
2021-05-12,163,2.08974358974359,1,5,78
2021-05-13,178,2.696969696969697,1,5,66
2021-05-14,139,2.396551724137931,1,5,58
2021-05-15,228,2.6823529411764704,1,5,85
2021-05-16,115,2.090909090909091,1,4,55
2021-05-17,75,1.875,1,4,40
2021-05-18,78,2.0,1,5,39
2021-05-19,121,2.086206896551724,1,5,58
2021-05-20,154,2.4444444444444446,1,5,63
2021-05-21,120,2.142857142857143,1,5,56
2021-05-22,210,2.2580645161290325,1,5,93
2021-05-23,161,2.090909090909091,1,5,77
2021-05-24,139,2.2063492063492065,1,4,63
2021-05-25,251,2.6989247311827955,1,5,93
2021-05-26,103,2.340909090909091,1,5,44
2021-05-27,143,2.234375,1,5,64
2021-05-28,124,2.175438596491228,1,5,57
2021-05-29,145,2.4166666666666665,1,5,60
2021-05-30,165,2.661290322580645,1,5,62
2021-05-31,203,3.029850746268657,1,5,67
2021-06-01,205,2.887323943661972,1,5,71
2021-06-02,221,2.402173913043478,1,5,92
2021-06-03,113,2.017857142857143,1,5,56
2021-06-04,285,3.3529411764705883,1,5,85
2021-06-05,338,2.9649122807017543,1,5,114
2021-06-06,56,1.6470588235294117,1,4,34
2021-06-07,261,2.4166666666666665,1,5,108
2021-06-08,186,2.48,1,5,75
2021-06-09,141,2.5636363636363635,1,5,55
2021-06-10,186,2.1882352941176473,1,5,85
2021-06-11,218,2.5057471264367814,1,5,87
2021-06-12,213,2.7662337662337664,1,5,77
2021-06-13,23,1.7692307692307692,1,5,13
2021-06-14,96,2.2857142857142856,1,5,42
2021-06-15,172,2.4927536231884058,1,5,69
2021-06-16,161,2.476923076923077,1,5,65
2021-06-17,88,2.2564102564102564,1,5,39
2021-06-18,166,2.4776119402985075,1,5,67
2021-06-19,222,2.49438202247191,1,5,89
2021-06-20,120,1.9672131147540983,1,5,61
2021-06-21,209,2.488095238095238,1,5,84
2021-06-22,209,2.548780487804878,1,5,82
2021-06-23,150,2.459016393442623,1,5,61
2021-06-24,116,2.1481481481481484,1,4,54
2021-06-25,243,2.67032967032967,1,5,91
2021-06-26,91,2.2195121951219514,1,5,41
2021-06-27,315,3.2142857142857144,1,5,98
2021-06-28,388,2.9618320610687023,1,5,131
2021-06-29,270,2.5961538461538463,1,5,104
2021-06-30,374,3.0655737704918034,1,5,122
2021-07-01,350,2.9411764705882355,1,5,119
