date,sum,mean,min,max,count
2020-12-08,391.709,3.8783069306930695,0.104,62.563,101
2020-12-09,1568.397,2.3478997005988025,0.044,18.065,668
2020-12-10,1575.071,6.645869198312236,0.156,62.563,237
2020-12-11,1574.8020000000001,6.561675,0.052,62.563,240
2020-12-12,1532.805,15.176287128712872,0.178,62.563,101
2020-12-13,1592.703,7.339645161290322,0.178,62.563,217
2020-12-14,1578.124,5.460636678200692,0.177,18.194,289
2020-12-15,1602.935,4.403667582417582,0.052,62.563,364
2020-12-16,1558.793,5.061016233766233,0.052,48.928,308
2020-12-17,1588.042,3.8358502415458937,0.178,62.563,414
2020-12-18,1542.24,7.597241379310345,0.177,62.563,203
2020-12-19,1587.767,8.184365979381443,0.178,18.441,194
2020-12-20,1609.344,5.293894736842105,0.177,62.563,304
2020-12-21,1596.475,9.17514367816092,0.177,18.285,174
2020-12-22,1574.023,11.323906474820143,0.26,66.943,139
2020-12-23,1593.873,7.482971830985916,0.177,20.157,213
2020-12-24,1582.29,3.563716216216216,0.052,62.563,444
2020-12-25,1592.656,4.35151912568306,0.177,18.206,366
2020-12-26,1575.5910000000001,7.0972567567567575,0.177,62.563,222
2020-12-27,1579.515,6.005760456273765,0.178,18.192,263
2020-12-28,1591.864,5.4515890410958905,0.21,62.563,292
2020-12-29,1556.749,8.506825136612022,0.178,62.563,183
2020-12-30,1575.505,5.082274193548387,0.104,18.023,310
2020-12-31,1569.19,6.035346153846154,0.156,62.563,260
2021-01-01,1567.217,9.384532934131737,0.177,18.252,167
2021-01-02,1589.477,2.9599199255121045,0.178,62.563,537
2021-01-03,1563.762,5.856786516853933,0.177,18.121,267
2021-01-04,1573.419,6.555912500000001,0.178,62.563,240
2021-01-05,1587.152,5.835117647058824,0.156,26.716,272
2021-01-06,1579.265,4.577579710144928,0.052,62.563,345
2021-01-07,1577.659,8.527886486486487,0.178,18.126,185
2021-01-08,1578.978,10.965125,0.178,62.563,144
2021-01-09,1565.985,5.715273722627737,0.178,18.28,274
2021-01-10,1594.15,4.140649350649351,0.178,50.052,385
2021-01-11,1552.025,6.718722943722944,0.177,62.563,231
2021-01-12,1591.574,4.433353760445683,0.177,18.195,359
2021-01-13,1576.016,3.4112900432900433,0.177,62.563,462
2021-01-14,1567.287,8.037369230769231,0.178,18.123,195
2021-01-15,1585.044,5.981298113207547,0.177,62.563,265
2021-01-16,1559.252,6.090828125,0.178,20.165,256
2021-01-17,1568.587,4.127860526315789,0.178,62.563,380
2021-01-18,1568.413,3.622200923787529,0.178,18.316,433
2021-01-19,1567.69,8.039435897435897,0.177,62.563,195
2021-01-20,1581.66,5.472871972318339,0.104,18.123,289
2021-01-21,1580.061,5.643075,0.177,62.563,280
2021-01-22,1545.208,4.453048991354467,0.177,18.821,347
2021-01-23,1585.056,5.301190635451505,0.156,62.563,299
2021-01-24,1558.68,7.640588235294118,0.177,17.982,204
2021-01-25,1575.642,5.377617747440273,0.177,62.563,293
2021-01-26,1597.324,6.167274131274132,0.178,18.39,259
2021-01-27,1577.586,10.177974193548387,0.177,62.563,155
2021-01-28,1591.826,4.668111436950147,0.177,18.271,341
2021-01-29,1572.3500000000001,11.82218045112782,0.177,62.563,133
2021-01-30,1575.982,5.858669144981413,0.052,18.428,269
2021-01-31,1552.592,5.525238434163701,0.177,62.563,281
2021-02-01,1573.957,7.089896396396397,0.178,19.656,222
2021-02-02,1582.6490000000001,4.289021680216803,0.052,62.563,369
2021-02-03,1580.478,5.3941228668941985,0.177,18.004,293
2021-02-04,1578.0,5.025477707006369,0.052,62.563,314
2021-02-05,1576.06,5.773113553113553,0.178,18.055,273
2021-02-06,1576.821,3.9420525,0.104,62.563,400
2021-02-07,1573.118,4.946911949685535,0.21,62.563,318
2021-02-08,1603.605,5.64649647887324,0.178,18.371,284
2021-02-09,1602.32,6.186563706563707,0.178,62.563,259
2021-02-10,1589.5240000000001,6.066885496183207,0.177,19.449,262
2021-02-11,1552.18,11.670526315789473,0.177,62.563,133
2021-02-12,1594.8509999999999,8.574467741935484,0.177,18.218,186
2021-02-13,1599.306,6.776720338983051,0.104,62.563,236
2021-02-14,1562.959,7.1043590909090915,0.052,37.335,220
2021-02-15,1625.052,5.110226415094339,0.178,62.563,318
2021-02-16,1554.001,5.6304384057971015,0.156,62.563,276
2021-02-17,1570.948,6.600621848739496,0.104,18.357,238
2021-02-18,1569.955,6.487417355371901,0.052,62.563,242
2021-02-19,1566.409,3.92583709273183,0.178,18.274,399
2021-02-20,1551.002,12.50808064516129,0.177,62.563,124
2021-02-21,1585.115,4.319114441416894,0.178,17.951,367
2021-02-22,1561.835,6.703154506437769,0.177,62.563,233
2021-02-23,1591.891,5.8741365313653136,0.177,19.265,271
2021-02-24,1567.425,3.356370449678801,0.156,62.563,467
2021-02-25,1596.814,4.083923273657289,0.177,18.664,391
2021-02-26,1590.003,5.845599264705882,0.177,62.563,272
2021-02-27,1574.254,5.766498168498168,0.177,18.225,273
2021-02-28,1606.667,6.350462450592885,0.177,66.943,253
2021-03-01,1576.82,3.8647549019607843,0.177,18.793,408
2021-03-02,1561.225,7.032545045045045,0.177,62.563,222
2021-03-03,1581.243,3.593734090909091,0.177,18.088,440
2021-03-04,1545.7640000000001,7.360780952380953,0.177,62.563,210
2021-03-05,1578.343,5.5969609929078015,0.177,19.443,282
2021-03-06,1575.881,6.705876595744681,0.177,62.563,235
2021-03-07,1578.926,3.671920930232558,0.178,18.429,430
2021-03-08,1564.291,5.488740350877193,0.178,62.563,285
2021-03-09,1573.031,5.350445578231293,0.178,18.187,294
2021-03-10,1562.85,9.247633136094674,0.177,62.563,169
2021-03-11,1513.888,9.403031055900621,0.178,17.461,161
2021-03-12,1560.547,6.935764444444445,0.178,62.563,225
2021-03-13,1574.848,5.468222222222222,0.178,18.731,288
2021-03-14,1577.674,5.614498220640569,0.177,62.563,281
2021-03-15,1587.74,6.03703422053232,0.178,18.175,263
2021-03-16,1572.206,4.319247252747252,0.156,50.683,364
2021-03-17,1571.163,6.83114347826087,0.177,18.399,230
2021-03-18,1542.811,3.7906904176904175,0.177,62.563,407
2021-03-19,1621.688,4.607068181818182,0.177,62.563,352
2021-03-20,1521.19,3.5877122641509436,0.178,62.563,424
2021-03-21,1580.701,4.761147590361446,0.177,18.886,332
2021-03-22,1571.294,5.997305343511451,0.177,62.563,262
2021-03-23,1569.966,4.447495750708215,0.177,19.981,353
2021-03-24,1607.962,6.842391489361702,0.19,66.943,235
2021-03-25,1585.02,4.249383378016086,0.178,21.648,373
2021-03-26,1573.685,4.948694968553459,0.177,62.563,318
2021-03-27,1563.464,4.416564971751412,0.178,17.954,354
2021-03-28,1585.467,3.934161290322581,0.178,62.563,403
2021-03-29,1560.467,3.3130934182590237,0.178,18.732,471
2021-03-30,1574.681,8.201463541666667,0.177,62.563,192
2021-03-31,1550.47,5.557240143369175,0.177,62.563,279
2021-04-01,1554.834,4.627482142857143,0.177,18.553,336
2021-04-02,1572.518,8.934761363636364,0.178,62.563,176
2021-04-03,1588.728,3.4092875536480687,0.177,18.003,466
2021-04-04,1573.968,4.312241095890411,0.104,62.563,365
2021-04-05,1584.542,4.660417647058823,0.177,18.589,340
2021-04-06,1570.843,5.018667731629393,0.178,62.563,313
2021-04-07,1564.214,4.227605405405405,0.177,18.214,370
2021-04-08,1550.599,6.98468018018018,0.177,62.563,222
2021-04-09,1607.65,4.2418205804749345,0.177,20.123,379
2021-04-10,1549.629,9.169402366863904,0.177,66.943,169
2021-04-11,1562.775,6.201488095238096,0.177,18.222,252
2021-04-12,1563.577,7.702349753694581,0.177,62.563,203
2021-04-13,1529.706,4.795316614420062,0.178,62.563,319
2021-04-14,1574.531,2.8116624999999997,0.177,20.04,560
2021-04-15,1576.842,3.5355201793721975,0.178,62.563,446
2021-04-16,1572.523,4.380286908077994,0.178,18.297,359
2021-04-17,1570.305,3.9956870229007637,0.177,62.563,393
2021-04-18,1500.405,5.264578947368421,0.177,62.563,285
2021-04-19,1610.289,8.896624309392266,0.181,63.893,181
2021-04-20,1605.02,4.6657558139534885,0.181,19.525,344
2021-04-21,1634.3220000000001,3.5919164835164836,0.165,63.893,455
2021-04-22,1613.135,9.113757062146892,0.181,19.549,177
2021-04-23,1290.448,22.639438596491228,0.181,66.943,57
2021-04-24,1580.35,20.524025974025975,0.181,66.943,77
2021-04-25,1588.053,6.965144736842106,0.181,18.932,228
