date,sum,mean,min,max,count
2018-09-28,1,1.0,1,1,1
2018-09-29,9,1.125,1,2,8
2018-09-30,6,1.2,1,2,5
2018-10-01,39,19.5,1,38,2
2018-10-03,1,1.0,1,1,1
2018-10-04,12,1.5,1,3,8
2018-10-05,14,1.75,1,3,8
2018-10-06,7,1.1666666666666667,1,2,6
2018-10-07,13,1.625,1,3,8
2018-10-08,6,1.2,1,2,5
2018-10-09,12,1.7142857142857142,1,6,7
2018-10-10,6,1.0,1,1,6
2018-10-11,28,2.3333333333333335,1,8,12
2018-10-12,6,1.0,1,1,6
2018-10-13,2,1.0,1,1,2
2018-10-14,13,1.8571428571428572,1,3,7
2018-10-15,13,1.625,1,3,8
2018-10-16,23,1.6428571428571428,1,4,14
2018-10-17,73,6.636363636363637,1,46,11
2018-10-19,21,1.6153846153846154,1,3,13
2018-10-20,49,16.333333333333332,3,41,3
2018-10-21,9,1.8,1,3,5
2018-10-22,12,2.4,1,6,5
2018-10-23,1,1.0,1,1,1
2018-10-24,15,1.3636363636363635,1,4,11
2018-10-25,34,2.2666666666666666,1,6,15
2018-10-26,25,3.5714285714285716,1,13,7
2018-10-27,4,1.3333333333333333,1,2,3
2018-10-28,7,1.75,1,3,4
2018-10-29,16,2.0,1,3,8
2018-10-30,10,2.0,1,5,5
2018-10-31,77,15.4,1,67,5
2018-11-02,5,2.5,1,4,2
2018-11-03,7,1.0,1,1,7
2018-11-04,14,1.5555555555555556,1,3,9
2018-11-05,5,1.25,1,2,4
2018-11-06,20,10.0,2,18,2
2018-11-07,5,1.0,1,1,5
2018-11-08,13,1.3,1,3,10
2018-11-09,6,2.0,1,3,3
2018-11-12,5,2.5,2,3,2
2018-11-13,15,1.6666666666666667,1,3,9
2018-11-14,21,1.9090909090909092,1,4,11
2018-11-15,23,2.3,1,7,10
2018-11-16,31,2.3846153846153846,1,6,13
2018-11-17,18,1.8,1,4,10
2018-11-18,10,1.25,1,3,8
2018-11-19,47,3.9166666666666665,1,15,12
2018-11-20,5,1.6666666666666667,1,2,3
2018-11-21,18,2.5714285714285716,1,7,7
2018-11-22,9,1.2857142857142858,1,2,7
2018-11-23,53,2.409090909090909,1,6,22
2018-11-24,3,3.0,3,3,1
2018-11-25,1,1.0,1,1,1
2018-11-26,33,3.6666666666666665,1,10,9
2018-11-27,62,3.6470588235294117,1,9,17
2018-11-28,23,2.090909090909091,1,4,11
2018-11-29,31,1.8235294117647058,1,4,17
2018-11-30,45,3.2142857142857144,1,6,14
2018-12-01,33,2.357142857142857,1,6,14
2018-12-02,9,1.2857142857142858,1,2,7
2018-12-03,28,2.0,1,7,14
2018-12-04,25,2.0833333333333335,1,6,12
2018-12-05,13,1.625,1,3,8
2018-12-06,24,1.7142857142857142,1,3,14
2018-12-07,12,1.0909090909090908,1,2,11
2018-12-08,7,1.1666666666666667,1,2,6
2018-12-09,8,1.3333333333333333,1,2,6
2018-12-10,9,1.2857142857142858,1,3,7
2018-12-11,9,1.5,1,2,6
2018-12-12,10,1.4285714285714286,1,2,7
2018-12-13,7,1.1666666666666667,1,2,6
2018-12-14,10,1.4285714285714286,1,3,7
2018-12-15,13,3.25,1,6,4
2018-12-16,1,1.0,1,1,1
2018-12-17,2,1.0,1,1,2
