date,sum,mean,min,max,count
2020-12-08,5423.934,91.93108474576272,52.0,137.0,59
2020-12-09,30880.0897,68.47026541019956,48.0,134.0,451
2020-12-10,17696.0866,65.0591419117647,45.0,128.0,272
2020-12-11,14543.5499,60.09731363636364,44.0,155.0,242
2020-12-12,9738.6386,61.249299371069185,47.0,93.0,159
2020-12-13,15966.2192,67.3680135021097,51.0,109.0,237
2020-12-14,16239.014,62.218444444444444,47.0,92.0,261
2020-12-15,14233.5012,70.81343880597015,47.0,123.0,201
2020-12-16,33938.0093,85.05766741854636,48.0,172.0,399
2020-12-17,15017.7169,73.6162593137255,48.0,158.0,204
2020-12-18,15962.9587,68.51055236051502,46.0,160.0,233
2020-12-19,17425.3767,64.53843222222223,50.0,103.0,270
2020-12-20,8227.0,73.45535714285714,56.0,118.0,112
2020-12-21,16060.9005,60.379325187969926,46.0,102.0,266
2020-12-22,14123.4161,62.21769207048458,47.0,158.0,227
2020-12-23,19417.4146,66.04562789115646,51.0,123.0,294
2020-12-24,13334.0182,86.58453376623378,45.0,131.0,154
2020-12-25,15061.8126,64.64297253218884,47.0,104.0,233
2020-12-26,9969.759,65.59051973684211,50.0,98.0,152
2020-12-27,16009.6145,58.85887683823529,46.0,102.0,272
2020-12-28,10107.9979,66.06534575163398,47.0,126.0,153
2020-12-29,9763.0078,63.39615454545454,43.0,90.0,154
2020-12-30,17332.9813,61.68320747330961,47.0,116.0,281
2020-12-31,12124.5975,65.89455163043478,50.0,129.0,184
2021-01-01,16162.7585,60.308800373134325,45.0,93.0,268
2021-01-02,12972.8411,66.87031494845361,52.0,123.0,194
2021-01-03,18816.7166,68.67414817518248,50.0,100.0,274
2021-01-04,11135.101,67.48546060606061,48.9172,94.0,165
2021-01-05,17391.798,63.94043382352941,49.0,123.0,272
2021-01-06,18756.8024,68.45548321167884,47.0,124.0,274
2021-01-07,16333.3133,61.40343345864662,45.0,96.0,266
2021-01-08,12069.9929,68.19205028248587,49.0,103.0,177
2021-01-09,18001.2081,64.75254712230216,48.0,100.0,278
2021-01-10,16392.7051,63.784844747081706,51.0,95.0,257
2021-01-11,15228.5272,63.188909543568464,47.0,115.0,241
2021-01-12,16503.4221,62.9901606870229,48.0,108.0,262
