date,sum,mean,min,max,count
2020-12-29,500,500.0,500,500,1
2021-01-15,495,495.0,495,495,1
2021-01-22,491,491.0,491,491,1
2021-01-29,488,488.0,488,488,1
2021-02-05,492,492.0,492,492,1
2021-02-12,495,495.0,495,495,1
2021-02-19,487,487.0,487,487,1
2021-02-26,487,487.0,487,487,1
2021-03-12,493,493.0,493,493,1
2021-04-02,500,500.0,500,500,1
2021-04-24,500,500.0,500,500,1
2021-05-08,500,500.0,500,500,1
2021-05-15,500,500.0,500,500,1
2021-05-22,500,500.0,500,500,1
2021-05-29,500,500.0,500,500,1
2021-06-05,500,500.0,500,500,1
2021-06-12,500,500.0,500,500,1
2021-06-19,500,500.0,500,500,1
2021-06-26,500,500.0,500,500,1
2021-07-03,500,500.0,500,500,1
2021-07-10,500,500.0,500,500,1
2021-07-17,500,500.0,500,500,1
2021-08-31,500,500.0,500,500,1
2021-09-07,500,500.0,500,500,1
2021-09-14,500,500.0,500,500,1
2021-09-21,500,500.0,500,500,1
2021-09-28,500,500.0,500,500,1
2021-10-06,500,500.0,500,500,1
2021-10-13,500,500.0,500,500,1
2021-10-20,500,500.0,500,500,1
2021-10-27,500,500.0,500,500,1
2021-11-04,500,500.0,500,500,1
2021-11-11,500,500.0,500,500,1
2021-11-18,500,500.0,500,500,1
2021-11-25,500,500.0,500,500,1
2021-12-02,500,500.0,500,500,1
2021-12-10,500,500.0,500,500,1
2021-12-17,500,500.0,500,500,1
2022-02-12,500,500.0,500,500,1
2022-02-19,500,500.0,500,500,1
2022-06-10,500,500.0,500,500,1
2022-06-17,500,500.0,500,500,1
2022-06-24,500,500.0,500,500,1
2022-07-02,500,500.0,500,500,1
2022-07-09,500,500.0,500,500,1
2022-07-16,500,500.0,500,500,1
2022-07-23,493,493.0,493,493,1
2022-07-31,500,500.0,500,500,1
2022-08-07,500,500.0,500,500,1
2022-08-14,500,500.0,500,500,1
2022-08-21,500,500.0,500,500,1
2022-08-28,500,500.0,500,500,1
2022-09-05,500,500.0,500,500,1
2022-09-12,500,500.0,500,500,1
2022-09-19,500,500.0,500,500,1
2022-09-26,500,500.0,500,500,1
2022-10-04,500,500.0,500,500,1
2022-10-11,500,500.0,500,500,1
2022-10-18,500,500.0,500,500,1
2022-10-25,500,500.0,500,500,1
2022-11-01,500,500.0,500,500,1
2022-11-08,500,500.0,500,500,1
2022-11-16,500,500.0,500,500,1
2022-11-23,500,500.0,500,500,1
2022-11-30,500,500.0,500,500,1
2022-12-07,500,500.0,500,500,1
2022-12-14,500,500.0,500,500,1
2022-12-21,500,500.0,500,500,1
2023-01-05,500,500.0,500,500,1
2023-01-12,500,500.0,500,500,1
2023-01-19,500,500.0,500,500,1
2023-01-26,500,500.0,500,500,1
2023-02-02,496,496.0,496,496,1
2023-02-09,500,500.0,500,500,1
2023-02-17,500,500.0,500,500,1
2023-03-10,500,500.0,500,500,1
2023-03-24,500,500.0,500,500,1
2023-04-01,500,500.0,500,500,1
2023-04-08,500,500.0,500,500,1
2023-04-15,500,500.0,500,500,1
2023-04-22,500,500.0,500,500,1
2023-04-29,500,500.0,500,500,1
2023-05-06,500,500.0,500,500,1
2023-05-13,500,500.0,500,500,1
2023-05-21,500,500.0,500,500,1
2023-05-28,500,500.0,500,500,1
2023-06-11,500,500.0,500,500,1
2023-06-25,500,500.0,500,500,1
2023-07-02,500,500.0,500,500,1
2023-07-24,500,500.0,500,500,1
2023-07-31,500,500.0,500,500,1
2023-08-08,500,500.0,500,500,1
2023-08-15,500,500.0,500,500,1
2023-08-22,492,492.0,492,492,1
2023-08-29,486,486.0,486,486,1
2023-09-05,500,500.0,500,500,1
2023-09-12,500,500.0,500,500,1
2023-09-19,500,500.0,500,500,1
2023-09-27,500,500.0,500,500,1
2023-10-04,500,500.0,500,500,1
2023-10-18,500,500.0,500,500,1
2023-10-25,500,500.0,500,500,1
2023-11-08,500,500.0,500,500,1
2023-11-22,500,500.0,500,500,1
2024-08-30,500,500.0,500,500,1
2024-09-06,500,500.0,500,500,1
