date,sum,mean,min,max,count
2018-09-28,3217,268.0833333333333,29,2407,12
2018-09-29,1992,83.0,3,447,24
2018-09-30,3774,629.0,61,3284,6
2018-10-01,18950,9475.0,271,18679,2
2018-10-03,732,81.33333333333333,13,189,9
2018-10-04,7243,557.1538461538462,3,5631,13
2018-10-05,6145,175.57142857142858,3,512,35
2018-10-06,2848,113.92,4,398,25
2018-10-07,18276,507.6666666666667,8,9393,36
2018-10-08,4619,659.8571428571429,8,4471,7
2018-10-09,55,27.5,24,31,2
2018-10-10,22025,1694.2307692307693,25,19957,13
2018-10-14,1546,193.25,23,540,8
2018-10-15,3771,125.7,5,572,30
2018-10-16,5303,589.2222222222222,29,3984,9
2018-10-17,16750,1116.6666666666667,7,14273,15
2018-10-19,35230,2516.4285714285716,7,33312,14
2018-10-21,4743,474.3,4,3890,10
2018-10-22,981,81.75,4,397,12
2018-10-23,294,58.8,15,145,5
2018-10-24,15682,2240.285714285714,13,14574,7
2018-10-26,3153,788.25,22,2428,4
2018-10-27,4761,952.2,1,4416,5
2018-10-28,1363,136.3,2,284,10
2018-10-29,10311,2577.75,10,6767,4
2018-10-30,373,74.6,2,329,5
2018-10-31,25387,1692.4666666666667,4,24094,15
2018-11-02,646,107.66666666666667,20,311,6
2018-11-03,10545,479.3181818181818,2,8569,22
2018-11-04,1603,229.0,8,559,7
2018-11-05,8536,1707.2,13,7838,5
2018-11-07,1388,57.833333333333336,8,195,24
2018-11-08,15853,310.84313725490193,2,1100,51
2018-11-09,1389,73.10526315789474,10,276,19
2018-11-10,149,49.666666666666664,43,58,3
2018-11-11,53,13.25,8,20,4
2018-11-12,773,70.27272727272727,2,172,11
2018-11-13,7012,200.34285714285716,7,615,35
2018-11-14,5122,146.34285714285716,2,399,35
2018-11-15,4918,169.58620689655172,4,611,29
2018-11-16,5438,175.41935483870967,1,647,31
2018-11-17,9355,170.0909090909091,4,430,55
2018-11-18,4864,156.90322580645162,1,648,31
2018-11-19,6573,205.40625,2,1046,32
2018-11-20,660,132.0,8,345,5
2018-11-21,3828,191.4,1,595,20
2018-11-22,2259,83.66666666666667,3,236,27
2018-11-23,15613,273.9122807017544,2,1107,57
2018-11-24,69,34.5,4,65,2
2018-11-25,51,51.0,51,51,1
2018-11-26,3794,145.92307692307693,5,602,26
2018-11-27,9301,221.45238095238096,4,1059,42
2018-11-28,4251,146.58620689655172,2,396,29
2018-11-29,9536,202.89361702127658,8,809,47
2018-11-30,5720,150.52631578947367,8,616,38
2018-12-01,7700,163.82978723404256,11,667,47
2018-12-02,2271,98.73913043478261,8,332,23
2018-12-03,6028,167.44444444444446,2,565,36
2018-12-04,6406,168.57894736842104,5,882,38
2018-12-05,4752,125.05263157894737,8,513,38
2018-12-06,6356,144.45454545454547,3,601,44
2018-12-07,10166,211.79166666666666,8,624,48
2018-12-08,9446,154.85245901639345,5,487,61
2018-12-09,3194,106.46666666666667,4,515,30
