date,sum,mean,min,max,count
2020-10-18,5.9350000000000005,0.29675,0.244,0.341,20
2020-10-19,2.2560000000000002,0.28200000000000003,0.27,0.303,8
2020-10-20,3.778,0.2906153846153846,0.27,0.315,13
2020-10-21,2.037,0.291,0.259,0.32,7
2020-10-22,3.074,0.27945454545454546,0.261,0.291,11
2020-10-23,3.42,0.285,0.263,0.311,12
2020-10-24,6.672,0.27799999999999997,0.252,0.307,24
2020-10-25,3.513,0.29275,0.235,0.322,12
2020-10-26,1.7149999999999999,0.28583333333333333,0.249,0.309,6
2020-10-27,0.292,0.292,0.292,0.292,1
2020-10-28,4.145,0.29607142857142854,0.252,0.332,14
2020-10-29,2.372,0.2965,0.248,0.323,8
2020-10-30,1.174,0.2935,0.273,0.311,4
2020-10-31,2.304,0.288,0.244,0.318,8
2020-11-01,1.668,0.27799999999999997,0.18,0.322,6
2020-11-02,3.258,0.29618181818181816,0.246,0.324,11
2020-11-03,3.351,0.27925,0.244,0.334,12
2020-11-04,0.572,0.286,0.283,0.289,2
2020-11-05,2.899,0.2899,0.21,0.317,10
2020-11-06,3.241,0.29463636363636364,0.248,0.319,11
2020-11-07,7.494,0.27755555555555556,0.24,0.322,27
2020-11-08,3.303,0.27525,0.241,0.305,12
2020-11-09,2.35,0.29375,0.267,0.326,8
2020-11-10,2.722,0.30244444444444446,0.28,0.331,9
2020-11-11,7.47,0.27666666666666667,0.222,0.314,27
2020-11-12,3.972,0.2837142857142857,0.243,0.322,14
2020-11-13,2.652,0.2946666666666667,0.271,0.326,9
2020-11-14,1.781,0.29683333333333334,0.277,0.322,6
2020-11-15,1.201,0.30025,0.293,0.306,4
2020-11-16,6.502,0.282695652173913,0.228,0.328,23
2020-11-17,4.042,0.2887142857142857,0.245,0.314,14
2020-11-18,5.738,0.28690000000000004,0.25,0.317,20
2020-11-19,1.361,0.2722,0.234,0.307,5
2020-11-20,2.133,0.3047142857142857,0.283,0.321,7
2020-11-21,10.407,0.2738684210526316,0.223,0.337,38
2020-11-22,8.027,0.27679310344827585,0.187,0.326,29
2020-11-23,3.535,0.27192307692307693,0.23,0.309,13
2020-11-24,0.296,0.296,0.296,0.296,1
2020-11-25,7.337,0.2821923076923077,0.207,0.322,26
2020-11-26,4.278,0.28519999999999995,0.25,0.312,15
2020-11-27,22.642,0.27953086419753087,0.236,0.337,81
2020-11-28,4.104,0.2736,0.205,0.322,15
2020-11-29,2.603,0.28922222222222227,0.269,0.333,9
2020-11-30,1.763,0.29383333333333334,0.287,0.3,6
2020-12-01,3.8040000000000003,0.2926153846153846,0.248,0.338,13
2020-12-02,2.0709999999999997,0.2958571428571428,0.248,0.322,7
2020-12-03,5.256,0.29200000000000004,0.243,0.336,18
2020-12-04,5.5329999999999995,0.2912105263157894,0.257,0.335,19
2020-12-05,6.378,0.277304347826087,0.232,0.323,23
2020-12-06,5.838,0.2919,0.24,0.321,20
2020-12-07,3.187,0.2897272727272727,0.245,0.323,11
2020-12-08,1.7069999999999999,0.2845,0.272,0.291,6
2020-12-09,3.552,0.2732307692307692,0.215,0.307,13
2020-12-10,5.843,0.29215,0.267,0.338,20
2020-12-11,8.056,0.2877142857142857,0.231,0.358,28
2020-12-12,6.873,0.29882608695652174,0.25,0.325,23
2020-12-13,6.28,0.28545454545454546,0.226,0.317,22
2020-12-14,4.431,0.2954,0.231,0.342,15
2020-12-15,5.673,0.28365,0.253,0.321,20
2020-12-16,6.995,0.2798,0.211,0.321,25
2020-12-17,10.872,0.29383783783783785,0.242,0.349,37
2020-12-18,8.033,0.2868928571428571,0.264,0.309,28
2020-12-19,1.822,0.3036666666666667,0.278,0.329,6
2020-12-20,14.713,0.29425999999999997,0.244,0.337,50
2020-12-21,3.828,0.2734285714285714,0.226,0.325,14
2020-12-22,3.545,0.29541666666666666,0.225,0.334,12
2020-12-23,4.691,0.2931875,0.187,0.34,16
2020-12-24,9.254,0.29851612903225805,0.263,0.337,31
2020-12-25,7.213,0.30054166666666665,0.243,0.328,24
2020-12-26,3.541,0.2950833333333333,0.26,0.327,12
2020-12-27,5.519,0.29047368421052633,0.228,0.338,19
2020-12-28,5.251,0.2917222222222222,0.244,0.323,18
2020-12-29,2.001,0.28585714285714287,0.252,0.317,7
2020-12-30,2.423,0.302875,0.271,0.321,8
2020-12-31,8.008,0.2965925925925926,0.219,0.352,27
2021-01-01,2.449,0.306125,0.277,0.325,8
2021-01-02,4.66,0.29125,0.252,0.315,16
2021-01-03,3.127,0.28427272727272723,0.244,0.318,11
2021-01-04,0.631,0.3155,0.298,0.333,2
2021-01-05,1.249,0.31225,0.292,0.323,4
2021-01-06,7.541,0.30164,0.261,0.338,25
2021-01-07,4.422,0.276375,0.228,0.317,16
2021-01-08,0.6,0.3,0.3,0.3,2
2021-01-09,1.117,0.27925,0.239,0.297,4
2021-01-10,4.805,0.3003125,0.26,0.326,16
2021-01-11,0.9510000000000001,0.317,0.304,0.329,3
2021-01-12,0.276,0.276,0.276,0.276,1
2021-01-13,8.772,0.3024827586206897,0.235,0.357,29
2021-01-14,0.8739999999999999,0.2913333333333333,0.284,0.298,3
2021-01-15,4.06,0.29,0.202,0.335,14
2021-01-16,6.996,0.29150000000000004,0.212,0.337,24
2021-01-17,3.158,0.28709090909090906,0.208,0.338,11
2021-01-18,6.394,0.30447619047619046,0.251,0.348,21
2021-01-19,2.785,0.30944444444444447,0.238,0.341,9
