date,sum,mean,min,max,count
2020-12-08,114.0,114.0,114.0,114.0,1
2020-12-09,95.0,95.0,95.0,95.0,1
2020-12-10,106.0,106.0,106.0,106.0,1
2020-12-11,155.0,155.0,155.0,155.0,1
2020-12-13,88.0,88.0,88.0,88.0,1
2020-12-16,124.0,124.0,124.0,124.0,1
2020-12-18,137.0,137.0,137.0,137.0,1
2020-12-20,111.0,111.0,111.0,111.0,1
2020-12-22,152.0,152.0,152.0,152.0,1
2020-12-24,106.0,106.0,106.0,106.0,1
2020-12-26,84.5,84.5,84.5,84.5,1
2020-12-28,109.0,109.0,109.0,109.0,1
2020-12-29,87.5,87.5,87.5,87.5,1
2020-12-31,114.0,114.0,114.0,114.0,1
2021-01-02,123.0,123.0,123.0,123.0,1
2021-01-06,109.5,109.5,109.5,109.5,1
2021-01-08,102.0,102.0,102.0,102.0,1
2021-01-11,99.0,99.0,99.0,99.0,1
2021-01-13,103.0,103.0,103.0,103.0,1
2021-01-21,124.5,124.5,124.5,124.5,1
2021-01-25,98.5,98.5,98.5,98.5,1
2021-01-27,93.0,93.0,93.0,93.0,1
2021-01-31,117.0,117.0,117.0,117.0,1
2021-02-02,122.0,122.0,122.0,122.0,1
2021-02-06,82.0,82.0,82.0,82.0,1
2021-02-07,129.5,129.5,129.5,129.5,1
2021-02-11,70.0,70.0,70.0,70.0,1
2021-02-13,88.0,88.0,88.0,88.0,1
2021-02-20,112.0,112.0,112.0,112.0,1
2021-02-26,103.0,103.0,103.0,103.0,1
2021-02-28,145.0,145.0,145.0,145.0,1
2021-03-04,117.0,117.0,117.0,117.0,1
2021-03-06,64.0,64.0,64.0,64.0,1
2021-03-08,120.0,120.0,120.0,120.0,1
2021-03-10,89.0,89.0,89.0,89.0,1
2021-03-20,114.0,114.0,114.0,114.0,1
2021-03-22,113.5,113.5,113.5,113.5,1
2021-03-24,100.0,100.0,100.0,100.0,1
2021-03-26,94.0,94.0,94.0,94.0,1
2021-03-30,106.0,106.0,106.0,106.0,1
2021-03-31,135.0,135.0,135.0,135.0,1
2021-04-04,92.0,92.0,92.0,92.0,1
2021-04-08,86.0,86.0,86.0,86.0,1
2021-04-11,87.0,87.0,87.0,87.0,1
2021-04-17,145.0,145.0,145.0,145.0,1
2021-04-21,116.0,116.0,116.0,116.0,1
